"nombre";"sexo";"2015";"2016";"2017";"2018";"2019";"2020";"n_total"
"Italo";"M";"28";"23";"21";NA;"18";NA;"90"
"Walter";"M";"25";"28";"18";"16";NA;NA;"87"
"Alvaro";"M";"20";"24";NA;"22";"20";NA;"86"
"Gianfranco";"M";NA;"28";"23";"35";NA;NA;"86"
"Salomón";"M";NA;"18";"15";"20";"17";"16";"86"
"Leo";"M";NA;NA;"15";"27";"25";"19";"86"
"Iñigo";"M";"21";"17";"17";"15";NA;"15";"85"
"Stephano";"M";"16";"21";"27";"21";NA;NA;"85"
"Freddy";"M";"20";"19";NA;"30";"15";NA;"84"
"Braulio";"M";"24";NA;NA;"20";"18";"21";"83"
"Renzo";"M";"24";"21";"18";"19";NA;NA;"82"
"Ronald";"M";"20";"23";"18";NA;"21";NA;"82"
"Jair";"M";NA;"20";NA;"15";"25";"22";"82"
"Ostin";"M";"30";"19";NA;"16";NA;"16";"81"
"Gadiel";"M";NA;"19";NA;"17";"16";"29";"81"
"Luka";"M";NA;NA;NA;"18";"33";"30";"81"
"Nataniel";"M";"19";"26";"18";"17";NA;NA;"80"
"Owen";"M";"18";NA;"15";NA;"21";"26";"80"
"Franko";"M";"32";"31";NA;"16";NA;NA;"79"
"Orlando";"M";"25";"24";"29";NA;NA;NA;"78"
"Antoine";"M";NA;"17";NA;"21";"18";"21";"77"
"Jayden";"M";NA;NA;NA;"23";"19";"35";"77"
"Marc";"M";NA;NA;NA;"22";"28";"27";"77"
"Eliezer";"M";NA;NA;"23";"21";"15";"16";"75"
"Apolo";"M";"16";NA;NA;"21";"18";"19";"74"
"Neithan";"M";NA;"19";"16";NA;"17";"22";"74"
"Eloy";"M";"23";"17";"17";"16";NA;NA;"73"
"Byron";"M";"30";"24";"18";NA;NA;NA;"72"
"Fidel";"M";"21";"15";"20";NA;"16";NA;"72"
"Wilson";"M";"20";NA;"21";"16";"15";NA;"72"
"Eduard";"M";"21";NA;"20";NA;"15";"15";"71"
"Wood";"M";NA;NA;NA;"28";"21";"22";"71"
"Rolando";"M";"16";"18";"20";"16";NA;NA;"70"
"Arthur";"M";NA;NA;NA;"15";"33";"22";"70"
"Robinson";"M";"28";"19";"22";NA;NA;NA;"69"
"Jefferson";"M";"22";"23";NA;"24";NA;NA;"69"
"Antony";"M";"17";"17";"19";NA;"16";NA;"69"
"Yamir";"M";"15";"22";"16";"15";NA;NA;"68"
"Eder";"M";"17";"19";"15";NA;NA;"16";"67"
"Zabdiel";"M";NA;NA;NA;"32";"19";"16";"67"
"Maikol";"M";"36";"30";NA;NA;NA;NA;"66"
"Elliot";"M";"18";"16";"17";NA;NA;"15";"66"
"Giovanny";"M";"18";"15";NA;"15";"18";NA;"66"
"Balthazar";"M";"15";"15";NA;"18";NA;"18";"66"
"Prince";"M";NA;NA;NA;"22";"23";"21";"66"
"Roque";"M";NA;"19";NA;"28";"18";NA;"65"
"Fabian";"M";NA;NA;"17";"15";"17";"16";"65"
"Ciro";"M";NA;NA;"16";NA;"23";"25";"64"
"Demir";"M";NA;NA;NA;NA;"34";"30";"64"
"Eitan";"M";NA;NA;"24";"16";"23";NA;"63"
"Elias";"M";NA;NA;NA;"19";"26";"18";"63"
"Líam";"M";NA;NA;NA;"16";"24";"23";"63"
"Yohan";"M";"29";"18";NA;NA;"15";NA;"62"
"Yadiel";"M";"24";"22";"16";NA;NA;NA;"62"
"Edwin";"M";NA;"26";NA;"21";NA;"15";"62"
"Darien";"M";"28";"17";"16";NA;NA;NA;"61"
"Alexandro";"M";NA;NA;NA;"24";"18";"19";"61"
"Guido";"M";"18";NA;"17";"25";NA;NA;"60"
"Darell";"M";NA;NA;"17";"20";"23";NA;"60"
"Kurt";"M";"15";"20";"24";NA;NA;NA;"59"
"Eleazar";"M";NA;"15";NA;NA;"29";"15";"59"
"Neythan";"M";NA;NA;NA;"16";"17";"26";"59"
"Xavier";"M";"26";"17";NA;NA;NA;"15";"58"
"Jimmy";"M";"25";"17";NA;NA;"15";NA;"57"
"Aidan";"M";"22";"16";"18";NA;NA;NA;"56"
"Arón";"M";"16";NA;NA;NA;"18";"22";"56"
"Darwin";"M";"22";"16";"17";NA;NA;NA;"55"
"Frank";"M";NA;"19";"20";"16";NA;NA;"55"
"Einar";"M";NA;NA;NA;NA;"20";"35";"55"
"Yordan";"M";"20";"17";"17";NA;NA;NA;"54"
"Benyamin";"M";"19";"15";"20";NA;NA;NA;"54"
"Fabricio";"M";NA;"16";NA;"21";NA;"17";"54"
"Marcus";"M";NA;NA;"20";"18";NA;"15";"53"
"Gerard";"M";"20";NA;"15";"17";NA;NA;"52"
"Gian";"M";"18";NA;NA;"16";"18";NA;"52"
"Vasco";"M";NA;NA;"19";"18";"15";NA;"52"
"Flavio";"M";"15";NA;NA;"15";NA;"21";"51"
"Ryan";"M";NA;NA;"19";NA;"15";"17";"51"
"Allan";"M";"18";"16";NA;NA;NA;"16";"50"
"Néstor";"M";NA;"19";"15";NA;"16";NA;"50"
"Benito";"M";NA;NA;"19";"16";"15";NA;"50"
